Practitioner,Number of Wives,Position
Joseph Smith,35,1st President
Hyrum Smith,3,Assistant President
Brigham Young,56,2nd President
Heber C. Kimball,45,First Counselor in the First Presidency
Willard Richards,10,Second Counselor in the First Presidency
William Smith,6,"Apostle, Presiding Patriarch"
Thomas Bullock,3,Reporter and Member of the Council of Fifty
Orson Pratt,10,Apostle
William Clayton,10,Member and Clerk of the Council of Fifty
Orson Hyde,9,President of the Quorum of the Twelve Apostles
Parley P. Pratt,11,Apostle
Amasa Lyman,9,Apostle
John Taylor,16,3rd President
"Edwin D. Woolley, Sr.",6,Member of the Utah Territorial Legislature
Erastus Snow,5,Apostle
John D. Lee,19,Member of the Council of Fifty
Ezra T. Benson,8,Apostle
Heber J. Grant,3,7th President
Joseph F. Smith,6,6th President
Lorenzo Snow,9,5th President
Wilford Woodruff,10,4th President
Abraham H. Cannon,3,Apostle
George Q. Cannon,3,First Counselor in the First Presidency
Albert Carrington,2,Counselor in the First Presidency
Rudger Clawson,3,President of the Quorum of the Twelve Apostles
Matthias F. Cowley,3,Apostle
Jedediah M. Grant,7,Second Counselor in the First Presidency
Francis M. Lyman,2,President of the Quorum of the Twelve Apostles
Richard R. Lyman,2,Apostle
Marriner W. Merrill,8,Apostle
Charles W. Nibley,3,Second Counselor in the First Presidency
Charles C. Rich,6,Apostle
Franklin D. Richards I,11,President of the Quorum of the Twelve Apostles
George A. Smith,7,First Counselor in the First Presidency
John Henry Smith,2,Second Counselor in the First Presidency
John W. Taylor,6,Apostle
George Teasdale,9,Apostle
Daniel H. Wells,7,Second Counselor in First Presidency
John R. Winder,4,First Counselor in the First Presidency
Abraham O. Woodruff,2,Apostle
Brigham Young Jr.,6,President of the Quorum of the Twelve Apostles
John Willard Young,6,First Counselor in the First Presidency
Titus Billings,2,Second Counselor to the Bishop of the Church
Robert T. Burton,3,First Counselor in the Presiding Bishopric
Zebedee Coltrin,7,First Seven Presidents of the Seventy
Levi W. Hancock,5,First Seven Presidents of the Seventy
Leonard W. Hardy,5,First Counselor in the Presiding Bishopric
George Miller,3,Second Bishop of the Church
John Hamilton Morgan,3,First Seven Presidents of the Seventy
Isaac Morley,7,First Counselor to the Bishop of the Church
Stillman Pond,5,Senior President of Thirty-fifth Quorum of Seventy
George Reynolds,3,First Council of the Seventy
B. H. Roberts,3,First Council of the Seventy
John Smith,2,5th Presiding Patriarch
John Smith (Uncle John),10,4th Presiding Patriarch
Zerubbabel Snow,3,First Quorum of the Seventy
Edward Stevenson,7,First Council of the Seventy
William W. Taylor,2,First Seven Presidents of the Seventy
John Van Cott,5,First Seven Presidents of the Seventy
Newel K. Whitney,8,Presiding Bishop
Joseph Young,6,First Seven Presidents of the Seventy
