President,Birth,Ordination,Death,Number of Children,First Marriage Date
Joseph Smith,"December 23, 1805","April 6, 1830","June 27, 1844",10,"January 18, 1827"
Brigham Young,"June 1, 1801","December 27, 1847","August 29, 1877",56,"October 8, 1824"
John Taylor,"November 1, 1808","October 10, 1880","July 25, 1887",34,"January 28, 1833"
Wilford Woodruff,"March 1, 1807","April 7, 1889","September 2, 1898",34,"April 13, 1837"
Lorenzo Snow,"April 3, 1814","September 13, 1898","October 10, 1901",42,"January 17, 1845"
Joseph F. Smith,"November 13, 1838","October 17, 1901","November 19, 1918",48,"April 5, 1859"
Heber J. Grant,"November 22, 1856","November 23, 1918","May 14, 1945",12,"November 1, 1877"
George Albert Smith,"April 4, 1870","May 21, 1945","April 4, 1951",3,"May 25, 1892"
David O. McKay,"September 8, 1873","April 9, 1951","January 18, 1970",7,"January 2, 1901"
Joseph Fielding Smith,"July 19, 1876","January 23, 1970","July 2, 1972",11,"April 26, 1898"
Harold B. Lee,"March 28, 1899","July 7, 1972","December 26, 1973",2,"November 14, 1923"
Spencer W. Kimball,"March 28, 1895","December 30, 1973","November 5, 1985",4,"November 16, 1917"
Ezra Taft Benson,"August 4, 1899","November 10, 1985","May 30, 1994",6,1926
Howard W. Hunter,"November 14, 1907","June 5, 1994","March 3, 1995",3,"June 10, 1931"
Gordon B. Hinckley,"June 23, 1910","March 12, 1995","January 27, 2008",5,"April 29, 1937"
Thomas S. Monson,"August 21, 1927","February 3, 2008","January 2, 2018",3,"October 7, 1948"
Russell M. Nelson,"September 9, 1924","January 14, 2018",,10,"August 31, 1945"
