State,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Alabama,1,1,0,7,45,31,76
Alaska,1,1,0,8,59,21,80
Arizona,6,6,0,115,823,83,906
Arkansas,0,2,0,7,42,27,69
California,7,18,0,154,"1,110",130,"1,240"
Colorado,2,4,0,35,277,27,304
Connecticut,1,0,0,3,28,5,33
Delaware,0,0,0,2,10,2,12
District Of Columbia,0,0,0,0,3,2,5
Florida,2,5,0,32,221,49,270
Georgia,1,3,0,17,123,35,158
Hawaii,2,1,0,16,125,16,141
Idaho,5,4,0,132,"1,105",53,"1,158"
Illinois,2,2,0,12,92,28,120
Indiana,1,1,0,11,75,26,101
Iowa,0,1,0,8,43,24,67
Kansas,0,1,0,7,60,16,76
Kentucky,1,1,0,8,46,30,76
Louisiana,1,1,0,7,35,20,55
Maine,0,0,0,2,18,8,26
Maryland,1,2,0,8,64,12,76
Massachusetts,1,1,0,6,42,15,57
Michigan,1,2,1,8,60,35,95
Minnesota,1,1,0,8,53,22,75
Mississippi,0,0,0,4,30,22,52
Missouri,2,2,0,18,130,22,152
Montana,1,1,0,13,87,37,124
Nebraska,1,1,0,4,42,14,56
Nevada,2,3,0,42,313,29,342
New Hampshire,0,1,0,3,15,6,21
New Jersey,0,1,0,6,42,22,64
New Mexico,1,2,0,14,104,37,141
New York,2,3,1,17,91,48,139
North Carolina,1,2,0,17,135,29,164
North Dakota,1,1,0,3,20,5,25
Ohio,1,2,0,13,101,23,124
Oklahoma,1,1,0,9,73,21,94
Oregon,2,3,0,35,257,49,306
Pennsylvania,1,2,0,12,79,30,109
Rhode Island,0,0,0,1,6,4,10
South Carolina,1,1,0,7,58,15,73
South Dakota,0,0,1,2,12,21,33
Tennessee,2,2,0,12,80,31,111
Texas,4,8,2,75,579,115,694
Utah,17,10,1,596,"4,824",323,"5,147"
Vermont,0,0,0,1,7,4,11
Virginia,0,3,0,23,172,29,201
Washington,3,7,0,62,470,68,538
West Virginia,0,1,0,4,24,10,34
Wisconsin,0,1,0,6,47,19,66
Wyoming,1,1,0,17,144,22,166
